"","Barangay","Population","Distance","TravelTimeHr","TravelTimeSec","LaborTime","AccHit"
"57","SAMBAG I (POB.)","15,193",0.004844346,0.0001614782,0.58132152,28799.41867848,5759
"54","PUNG-OL-SIBUGAY","2,891",0.017517143,0.000583904766666667,2.10205716,28797.89794284,5759
"79","TO-ONG PARDO","4,725",0.045953508,0.0015317836,5.51442096,28794.48557904,5758
"30","INAYAWAN","34,728",0.058487402,0.00194958006666667,7.01848824,28792.98151176,5758
"38","LOREGA (LOREGA SAN MIGUEL)","13,428",0.068294421,0.0022764807,8.19533052,28791.80466948,5758
"76","TEJERO (VILLA GONZALO)","16,394",0.080547073,0.00268490243333333,9.66564876,28790.33435124,5758
"61","SAN NICOLAS CENTRAL","7,571",0.083158484,0.00277194946666667,9.97901808,28790.02098192,5758
"49","PARI-AN","1,780",0.088057838,0.00293526126666667,10.56694056,28789.43305944,5757
"63","SANTA CRUZ (POB.)","2,619",0.104335791,0.0034778597,12.52029492,28787.47970508,5757
"41","MABINI","2,159",0.136905803,0.00456352676666667,16.42869636,28783.57130364,5756
"11","BUDLA-AN (POB.)","6,012",0.140633535,0.0046877845,16.8760242,28783.1239758,5756
"20","CARRETA","14,201",0.17716721,0.00590557366666667,21.2600652,28778.7399348,5755
"7","BASAK PARDO","21,957",0.188334301,0.00627781003333333,22.60011612,28777.39988388,5755
"16","CALAMBA","12,641",0.210633933,0.0070211311,25.27607196,28774.72392804,5754
"67","SIRAO","3,909",0.223135624,0.00743785413333333,26.77627488,28773.22372512,5754
"60","SAN JOSE","7,770",0.227546727,0.0075848909,27.30560724,28772.69439276,5754
"66","SINSIN","2,444",0.232937828,0.00776459426666667,27.95253936,28772.04746064,5754
"50","PARIL","1,673",0.235954962,0.0078651654,28.31459544,28771.68540456,5754
"3","APAS","27,811",0.243587274,0.0081195758,29.23047288,28770.76952712,5754
"80","ZAPATERA","3,558",0.253899432,0.0084633144,30.46793184,28769.53206816,5753
"78","TISA","42,711",0.272601574,0.00908671913333333,32.71218888,28767.28781112,5753
"64","SAPANGDAKU","8,588",0.29205833,0.00973527766666667,35.0469996,28764.9530004,5752
"21","CENTRAL (POB.)","1,372",0.312687129,0.0104229043,37.52245548,28762.47754452,5752
"69","SUDLON I","3,141",0.320935941,0.0106978647,38.51231292,28761.48768708,5752
"27","GUADALUPE","69,256",0.347676576,0.0115892192,41.72118912,28758.27881088,5751
"65","SAWANG CALERO (POB.)","9,340",0.381132656,0.0127044218666667,45.73591872,28754.26408128,5750
"44","MAMBALING","36,828",0.386973344,0.0128991114666667,46.43680128,28753.56319872,5750
"19","CAPITOL SITE (POB.)","12,788",0.389890337,0.0129963445666667,46.78684044,28753.21315956,5750
"68","SUBA POB. (SUBA SAN NICOLAS)","12,470",0.407184075,0.0135728025,48.862089,28751.137911,5750
"36","LABANGON","37,860",0.410288826,0.0136762942,49.23465912,28750.76534088,5750
"28","GUBA","5,628",0.413062703,0.0137687567666667,49.56752436,28750.43247564,5750
"10","BONBON","6,369",0.424299549,0.0141433183,50.91594588,28749.08405412,5749
"77","TINAGO","7,626",0.455745981,0.0151915327,54.68951772,28745.31048228,5749
"43","MALUBOG","2,904",0.474085735,0.0158028578333333,56.8902882,28743.1097118,5748
"5","BACAYAN","18,003",0.501295314,0.0167098438,60.15543768,28739.84456232,5747
"4","BABAG","5,035",0.528253148,0.0176084382666667,63.39037776,28736.60962224,5747
"22","COGON PARDO","24,062",0.539822346,0.0179940782,64.77868152,28735.22131848,5747
"72","TABUNAN","2,418",0.542969108,0.0180989702666667,65.15629296,28734.84370704,5746
"39","LUSARAN","3,315",0.555530266,0.0185176755333333,66.66363192,28733.33636808,5746
"12","BUHISAN","16,938",0.576513889,0.0192171296333333,69.18166668,28730.81833332,5746
"35","KINASANG-AN PARDO","17,173",0.577460829,0.0192486943,69.29529948,28730.70470052,5746
"45","PAHINA CENTRAL (POB.)","5,946",0.596836886,0.0198945628666667,71.62042632,28728.37957368,5745
"31","KALUBIHAN (POB.)","979",0.608745743,0.0202915247666667,73.04948916,28726.95051084,5745
"32","KALUNASAN","30,259",0.69152849,0.0230509496666667,82.9834188,28717.0165812,5743
"6","BANILAD","8,923",0.693415656,0.0231138552,83.20987872,28716.79012128,5743
"53","PULANGBATO","6,772",0.716424394,0.0238808131333333,85.97092728,28714.02907272,5742
"59","SAN ANTONIO (POB.)","2,180",0.726716548,0.0242238849333333,87.20598576,28712.79401424,5742
"18","CAMPUTHAW (POB.)","22,653",0.892052686,0.0297350895333333,107.04632232,28692.95367768,5738
"58","SAMBAG II (POB.)","12,693",0.933892036,0.0311297345333333,112.06704432,28687.93295568,5737
"1","ADLAON","4,555",0.939891375,0.0313297125,112.786965,28687.213035,5737
"37","LAHUG (POB.)","43,636",0.977372085,0.0325790695,117.2846502,28682.7153498,5736
"47","PAMUTAN","2,106",0.9878311,0.0329277033333333,118.539732,28681.460268,5736
"42","MABOLO","24,890",1.026515103,0.0342171701,123.18181236,28676.81818764,5735
"26","ERMITA (POB.)","9,558",1.067385031,0.0355795010333333,128.08620372,28671.91379628,5734
"15","BUSAY (POB.)","14,756",1.078083045,0.0359361015,129.3699654,28670.6300346,5734
"29","HIPPODROMO","10,952",1.083930293,0.0361310097666667,130.07163516,28669.92836484,5733
"24","DAY-AS","5,448",1.10095494,0.036698498,132.1145928,28667.8854072,5733
"34","KASAMBAGAN","9,532",1.106359687,0.0368786562333333,132.76316244,28667.23683756,5733
"23","COGON RAMOS (POB.)","3,776",1.113166651,0.0371055550333333,133.57999812,28666.42000188,5733
"13","BULACAO","34,437",1.145378725,0.0381792908333333,137.445447,28662.554553,5732
"73","TAGBAO","1,998",1.146991113,0.0382330371,137.63893356,28662.36106644,5732
"55","PUNTA PRINCESA","25,298",1.200330086,0.0400110028666667,144.03961032,28655.96038968,5731
"52","PIT-OS","7,062",1.231410771,0.0410470257,147.76929252,28652.23070748,5730
"75","TAPTAP","2,367",1.259134454,0.0419711484666667,151.09613448,28648.90386552,5729
"74","TALAMBAN","36,347",1.420920803,0.0473640267666667,170.51049636,28629.48950364,5725
"62","SAN ROQUE (CIUDAD)","5,026",1.481867669,0.0493955889666667,177.82412028,28622.17587972,5724
"25","DULJO (POB.)","19,977",1.553877591,0.0517959197,186.46531092,28613.53468908,5722
"56","QUIOT PARDO","27,369",1.587230781,0.0529076927,190.46769372,28609.53230628,5721
"40","LUZ","20,711",1.728827452,0.0576275817333333,207.45929424,28592.54070576,5718
"14","BUOT-TAUP PARDO","2,799",1.784092372,0.0594697457333333,214.09108464,28585.90891536,5717
"51","PASIL","9,718",1.792280482,0.0597426827333333,215.07365784,28584.92634216,5716
"33","KAMAGAYAN (POB.)","2,454",1.794656489,0.0598218829666667,215.35877868,28584.64122132,5716
"71","T. PADILLA","8,647",1.802172512,0.0600724170666667,216.26070144,28583.73929856,5716
"46","PAHINA SAN NICOLAS","3,614",1.813529597,0.0604509865666667,217.62355164,28582.37644836,5716
